rivmth_id,lat,lon,rivwth,uparea,dist2coast,q_mean,couple_id,gtsm_egm_offset,surge_std,tidal_range
8073,47.75125122,-3.351249695,10,2057187456.0,2233,3.597286,1544,0.013999999999999999,0.1357472347300969,3.235461
8096,47.98208237,139.5337524,16,2868436992.0,0,44.475716,3614,0.41600000000000004,0.09972010815725671,0.16452204
8100,47.53541565,-124.3479156,10,1170233088.0,2236,54.045757,153,0.40700000000000003,0.11557827592617059,2.5788846
8103,47.67291641,-122.4087524,12,1530683264.0,0,42.232006,183,0.449,0.111298694361211,3.4752908
8105,47.65625,-70.1479187,22,1845985920.0,0,34.55177,962,-0.18,0.09378199260475352,2.880125
8107,47.64708328,-65.67458344,22,2296741888.0,0,6.8514094,1044,-0.076,0.1375366248859851,1.5858113
8108,47.602081299999995,-65.67041779,22,2296741888.0,3161,7.325202,1049,-0.076,0.1375366248859851,1.5858113
8109,47.61875153,-65.64125061,22,2296741888.0,0,46.506836,1053,-0.076,0.1375366248859851,1.5858113
8127,47.71125031,-55.41708374,13,1228290944.0,0,40.908073,1200,-0.129,0.12180025423310922,1.4928167
8128,47.64125061,-55.06791687,13,1346653696.0,0,40.869576,1202,-0.129,0.12180025423310922,1.4928167
8163,47.34791565,-124.2995834,14,1129678336.0,0,75.03032,154,0.40700000000000003,0.11557827592617059,2.5788846
8167,47.26791763,-122.4262466,20,2635576832.0,0,91.60384,184,0.449,0.11127699429184541,3.4682012
8168,47.57791519,-122.35791780000001,12,1530683264.0,0,38.399006,186,0.449,0.11129517073952712,3.4752908
8172,47.43624878,-70.49124908,14,1002645504.0,0,15.782674,954,-0.171,0.09293136949666575,3.1818197
8184,47.49625015,-2.443750381,23,10489015296.0,0,83.185295,1557,0.012,0.14685041353889947,3.5437024
8186,47.28625107,-1.9729156490000002,133,117000000000.0,0,834.6798,1567,0.01,0.15540665694749983,3.6205313
8220,47.44208527,142.75457759999998,15,1693595264.0,0,40.77582,3702,0.304,0.12206114939000558,0.81076443
8224,47.10291672,-122.6945801,16,1898370176.0,0,60.30122,180,0.449,0.11120670984968276,3.0073476
8228,46.82291412,-71.2104187,1203,1050000000000.0,0,10.460549,922,-0.171,0.0944254198251802,3.451105
8229,46.88375092,-71.14291382,1203,1050000000000.0,0,24.937532,929,-0.171,0.0944254198251802,3.451105
8230,47.03458405,-70.88208008,14,1070126720.0,0,19.87179,940,-0.171,0.0944254198251802,3.451105
8232,47.07458496,-65.39208221,73,11740020736.0,3171,240.19092,1060,-0.063,0.1456084715881039,1.0494666
8246,47.11208344,38.06624985,10,1249673728.0,2242,4.1378303,2269,-0.076,0.2653769031614817,0.009096414
8247,47.14125061,38.32791901,10,1378656896.0,2242,4.4205203,2273,-0.076,0.2653769031614817,0.009096414
8248,47.18291473,38.51291656,14,7047613440.0,0,21.766977,2274,-0.076,0.2653769031614817,0.009096414
8249,47.08791733,39.23791885,466,438000000000.0,0,1451.1852,2294,-0.076,0.2790458842322653,0.050509617
8250,47.05208206,39.30625153,10,5026447872.0,2243,15.338506,2300,-0.076,0.2825053335539295,0.050509617
8293,46.97458267,-123.80208590000002,47,5173699072.0,2244,222.34013,170,0.409,0.11320767300848271,2.5659173
8295,46.8129158,-71.19541931,1203,1050000000000.0,0,12817.414,930,-0.171,0.0944254198251802,3.451105
8296,46.98708344,-70.54875183,22,1985873152.0,2244,36.77538,946,-0.171,0.09504136621486041,3.3853846
8314,46.54291534,30.74875069,10,2823798784.0,3182,5.3773985,2114,-0.06,0.0737331107065657,0.11415382
8317,46.89624786,32.00291824,83,63691599872.0,0,161.68127,2133,-0.077,0.08165223821566242,0.18841726
8324,46.90791702,38.84041595,10,1067825536.0,2245,3.293608,2279,-0.076,0.2653769031614817,0.009096414
8396,46.50958252,30.73291779,10,2823798784.0,4500,6.7588487,2115,-0.06,0.0737331107065657,0.11415382
8398,46.62874985,31.17791748,10,5373518848.0,0,10.694435,2123,-0.06,0.08236251724955691,0.11902832
8403,46.52708435,32.37958527,552,511000000000.0,0,2154.2427,2141,-0.077,0.0766492079849563,0.18841726
8412,46.66708374,38.59541702,15,9191883776.0,0,32.024883,2275,-0.076,0.2653769031614817,0.009096414
8462,46.70124817,142.5187531,10,1469084288.0,2247,26.19476,3696,0.308,0.1347262549263377,0.9794478
8467,46.26208496,-123.46208190000002,493,652000000000.0,0,7522.7964,175,0.413,0.1105218101653961,3.0073476
8480,46.44374847,-61.10791779,10,1168344448.0,0,25.857985,1122,-0.113,0.1435193953887967,0.7319512
8484,46.3204155,-1.302082062,10,2001261952.0,0,12.20476,1581,0.011000000000000001,0.14652367875450387,3.6858833
8485,46.30625153,-1.1312503809999999,10,3404946944.0,0,25.490011,1587,0.011000000000000001,0.14652367875450387,3.6858833
