id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea,rivhgt,elevtn
2057,1359,0.000000,69.783752,69.875000,159.837082,159.875000,26.216129,80,7994.994629,2.000000,0.000000
2065,1412,0.000000,69.853752,69.875000,173.176254,173.125000,20.834009,80,5331.595703,2.000000,0.000000
2069,1416,3921.646848,69.842918,69.875000,174.013748,174.125000,61.853924,80,20478.869141,2.059485,0.000000
2077,67,0.000000,69.624580,69.625000,-163.037918,-163.125000,23.182348,81,5793.645020,2.000000,0.000000
2086,161,1963.808224,69.548752,69.625000,-139.612915,-139.625000,10.000000,81,1014.782288,2.000000,0.000000
2087,162,1963.808224,69.545418,69.625000,-139.477921,-139.375000,15.815216,81,6160.247070,2.000000,0.000000
2102,204,6205.899411,69.667084,69.625000,-128.870422,-128.875000,119.814102,81,62504.199219,2.930220,0.000000
2109,236,0.000000,69.652084,69.625000,-120.930420,-120.875000,10.000000,81,2285.582520,2.000000,0.000000
2111,252,1962.809747,69.638748,69.625000,-116.822914,-116.875000,12.696184,81,4801.377930,2.000000,0.000000
2114,305,2775.362589,69.679581,69.625000,-103.507080,-103.625000,10.000000,81,1644.867920,2.000000,0.000000
2115,306,1962.146061,69.712082,69.625000,-103.295418,-103.375000,11.301874,81,3392.233887,2.000000,0.000000
2133,341,0.000000,69.680420,69.625000,-94.747078,-94.625000,10.000000,81,1373.381104,2.000000,0.000000
2143,387,0.000000,69.534584,69.625000,-83.237915,-83.125000,12.105046,81,1366.981445,2.000000,0.000000
2157,439,0.000000,69.523750,69.625000,-70.022911,-70.125000,15.039825,81,1764.985352,2.000000,0.000000
2179,837,1962.311836,69.698746,69.625000,29.483751,29.375000,21.583630,81,2987.228271,2.000000,0.000000
2181,840,3924.955414,69.678749,69.625000,30.112083,30.125000,79.963554,81,15901.224609,2.361775,0.000000
2183,845,5553.545968,69.577080,69.625000,31.260418,31.375000,17.261770,81,2031.478149,2.000000,0.000000
2185,848,1963.808224,69.547081,69.625000,32.032917,32.125000,13.209038,81,1366.156494,2.000000,0.000000
2194,962,5888.927741,69.618752,69.625000,60.667915,60.625000,18.881918,81,2918.360840,2.000000,0.000000
2198,971,3924.955414,69.667915,69.625000,62.974583,62.875000,10.471613,81,1151.078491,2.000000,0.000000
2208,992,6210.634200,69.517914,69.625000,68.157082,68.125000,11.254366,81,1477.354004,2.000000,0.000000
2220,1370,5888.927741,69.622086,69.625000,162.574585,162.625000,10.000000,81,1922.789307,2.000000,0.000000
2227,1380,0.000000,69.584579,69.625000,165.187088,165.125000,10.000000,81,1469.406128,2.000000,0.000000
2253,183,0.000000,69.257080,69.375000,-134.202087,-134.125000,30.706221,82,8054.550293,2.000000,0.000000
2259,192,0.000000,69.358749,69.375000,-131.992081,-131.875000,19.821777,82,6847.094238,2.000000,0.000000
2264,197,4392.701493,69.475418,69.375000,-130.582916,-130.625000,10.000000,82,2364.505371,2.000000,0.000000
2267,224,3931.631429,69.337914,69.375000,-123.752914,-123.875000,31.194681,82,14981.599609,2.000000,0.000000
